"REF_DATE","GEO","DGUID","Seasonal adjustment","Levels of government","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments expenditure","Dollars","81","millions","6","v62425550","1.1.1.69","1133200","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments expenditure","Dollars","81","millions","6","v62425550","1.1.1.69","1143012","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Final expenditure on goods and services","Dollars","81","millions","6","v62425551","1.1.1.70","574448","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Final expenditure on goods and services","Dollars","81","millions","6","v62425551","1.1.1.70","591808","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Final expenditure on goods and services","Dollars","81","millions","6","v62425551","1.1.1.70","602268","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Final expenditure on goods and services","Dollars","81","millions","6","v62425551","1.1.1.70","619532","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Final expenditure on goods and services","Dollars","81","millions","6","v62425551","1.1.1.70","626996","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to households","Dollars","81","millions","6","v62425552","1.1.1.83","483928","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to households","Dollars","81","millions","6","v62425552","1.1.1.83","356564","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to households","Dollars","81","millions","6","v62425552","1.1.1.83","311916","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to households","Dollars","81","millions","6","v62425552","1.1.1.83","318136","","","","0"
